repo,pr_number,text,label,subcategory
vim/vim,18206,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18204,on src/match.c:44,Constructive Negative,Vague Feedback
vim/vim,18202,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18201,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18200,"Thanks, but shouldn't the new region be linked to comment highlighting group?",Constructive Positive,Clarity & Context
vim/vim,18200,I thought about this question for quite some time.,Constructive Positive,Clarity & Context
vim/vim,18200,I see. Thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18199,okay thanks.,Constructive Negative,Vague Feedback
vim/vim,18199,on runtime/pack/dist/opt/netrw/autoload/netrw/fs.vim:1,Constructive Negative,Vague Feedback
vim/vim,18199,on runtime/pack/dist/opt/netrw/autoload/netrw/fs.vim:1,Constructive Negative,Vague Feedback
vim/vim,18199,"echo ""scp://ds//opt/nvidia/deepstream""->fnamemodify",Constructive Negative,Vague Feedback
vim/vim,18199,"echo ""scp://ds//opt/nvidia/deepstream/""->fnamemodify",Constructive Negative,Vague Feedback
vim/vim,18197,Spelling out explicitly a development policy is a very valuable addition.,Constructive Positive,Clarity & Context
vim/vim,18197,on runtime/doc/develop.txt:1,Constructive Negative,Vague Feedback
vim/vim,18197,on runtime/doc/develop.txt:1,Constructive Negative,Vague Feedback
vim/vim,18197,on runtime/doc/develop.txt:1,Constructive Negative,Vague Feedback
vim/vim,18197,on runtime/doc/develop.txt:1,Constructive Negative,Vague Feedback
vim/vim,18196,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18194,"can you explain the ""to prevent url parsing"" a bit? What problem are you actually solving. I'd also suggest to update the protocol to TLS instead of SSL.",Constructive Positive,Actionable Feedback
vim/vim,18194,"Sorry should've explained. The problem is that for Nvim I'm changing to use the vimdoc treesitter parser for finding urls ( The parser marks these just-protocol ""urls"" as url nodes too, while I believe these are not meant as actual urls in the document.",Constructive Positive,Clarity & Context
vim/vim,18194,I see thanks. Let me merge it then.,Constructive Positive,Clarity & Context
vim/vim,18193,Thanks. I think the refactoring would make sense and looks sensible.,Constructive Positive,Clarity & Context
vim/vim,18193,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18193,on runtime/autoload/vimgoto.vim:154,Constructive Negative,Vague Feedback
vim/vim,18193,on runtime/autoload/vimgoto.vim:1,Constructive Negative,Vague Feedback
vim/vim,18193,on runtime/autoload/vimgoto.vim:1,Constructive Negative,Vague Feedback
vim/vim,18193,on runtime/autoload/vimgoto.vim:1,Constructive Negative,Vague Feedback
vim/vim,18193,on runtime/autoload/vimgoto.vim:1,Constructive Negative,Vague Feedback
vim/vim,18193,on runtime/autoload/vimgoto.vim:1,Constructive Negative,Vague Feedback
vim/vim,18193,on runtime/autoload/vimgoto.vim:1,Constructive Negative,Vague Feedback
vim/vim,18193,on runtime/autoload/vimgoto.vim:1,Constructive Negative,Vague Feedback
vim/vim,18193,on runtime/autoload/vimgoto.vim:1,Constructive Negative,Vague Feedback
vim/vim,18192,"thanks, I include it",Constructive Positive,Clarity & Context
vim/vim,18191,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18190,is automatically generated by Autoconf. The fix needs to happens at line 2052 in . Since 2.70 there is in Autoconf.,Constructive Positive,Clarity & Context
vim/vim,18190,Thank you for your advice.,Constructive Positive,Clarity & Context
vim/vim,18190,(,Constructive Negative,Vague Feedback
vim/vim,18190,on src/configure.ac:1,Constructive Negative,Vague Feedback
vim/vim,18190,on src/configure.ac:1,Constructive Negative,Vague Feedback
vim/vim,18190,on src/configure.ac:1,Constructive Negative,Vague Feedback
vim/vim,18190,on src/configure.ac:1,Constructive Negative,Vague Feedback
vim/vim,18189,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18186,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18184,"thanks, can you please add a test to test_plugin_termdebug ?",Constructive Positive,Actionable Feedback
vim/vim,18184,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18182,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18179,thanks. Let me order those values alphabetically,Constructive Positive,Clarity & Context
vim/vim,18179,on runtime/doc/autocmd.txt:1,Constructive Negative,Vague Feedback
vim/vim,18178,"ah, thanks",Constructive Negative,Vague Feedback
vim/vim,18176,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18174,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18173,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18173,"@h-east Thanks, everything is working.",Constructive Positive,Clarity & Context
vim/vim,18172,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18169,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18166,Thanks for the addition.,Constructive Positive,Clarity & Context
vim/vim,18166,Hi @dkearns,Constructive Negative,Vague Feedback
vim/vim,18166,"Are you also @elkasztano? If not, why is there no attribution to the original author? We also usually ask the original author for permission to distribute this with Vim, even if this is not required by the license.",Constructive Positive,Clarity & Context
vim/vim,18166,"Hi, @elkasztano here! I haven't been asked for permission, but of course you can include my little project as long as it's in compliance with the license. And no, it hasn't been generated using any kind of LLM, but instead I've used Nushell itself to generate portions of it:",Constructive Positive,Clarity & Context
vim/vim,18166,"I think for the keywords you may just want to use the keywords, without using the regex atoms and",Constructive Positive,Clarity & Context
vim/vim,18166,Thanks for the clarification @elkasztano.,Constructive Positive,Clarity & Context
vim/vim,18166,"It's totally okay for me to be listed as the maintainer. I'm actually a bit surprised because it is my very first Vimscript project and, until now, the only one.",Constructive Positive,Clarity & Context
vim/vim,18166,"Okay, @Petesta so please make the following changes:",Constructive Positive,Clarity & Context
vim/vim,18166,"This is a modified version of the upstream syntax file with renamed syntax groups and, at least, broken changes. So we don't want to include this one even with the fixes. We also want to include the indent script from upstream and probably transfer ftplugin maintenance as well.",Constructive Positive,Clarity & Context
vim/vim,18166,thanks Doug,Constructive Negative,Vague Feedback
vim/vim,18166,Closing in favour of #18208.,Constructive Positive,Clarity & Context
vim/vim,18166,@chrisbra I'll make those changes.,Constructive Positive,Clarity & Context
vim/vim,18165,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18164,"thanks, I was just preparing the same patch.",Constructive Positive,Clarity & Context
vim/vim,18163,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18159,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18158,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18157,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18155,I'll update later.,Constructive Negative,Vague Feedback
vim/vim,18155,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18154,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18152,"From searching the Internet it seems that the exact name isn't used. Instead these files can be , , etc., and I have already opened #18146.",Constructive Positive,Clarity & Context
vim/vim,18152,I've added your comment changes to #18146.,Constructive Positive,Clarity & Context
vim/vim,18151,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18149,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18148,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18147,"Hm, CI fails, because and is still used in",Constructive Positive,Clarity & Context
vim/vim,18147,"> Hm, CI fails, because and is still used in",Constructive Positive,Clarity & Context
vim/vim,18147,Done,Constructive Negative,Vague Feedback
vim/vim,18147,"> Let's remove the implementation in time.c, either in this PR or elsewhere.",Constructive Positive,Clarity & Context
vim/vim,18147,> I suppose in a different PR,Constructive Positive,Clarity & Context
vim/vim,18147,> > I suppose in a different PR,Constructive Positive,Clarity & Context
vim/vim,18147,I will submit a PR.,Constructive Positive,Clarity & Context
vim/vim,18147,"Thanks, both!",Constructive Negative,Vague Feedback
vim/vim,18147,on src/os_unix.c:126,Constructive Negative,Vague Feedback
vim/vim,18147,on src/os_unix.c:126,Constructive Negative,Vague Feedback
vim/vim,18147,on src/os_unix.c:99,Constructive Negative,Vague Feedback
vim/vim,18147,on src/os_unix.c:99,Constructive Negative,Vague Feedback
vim/vim,18147,on src/os_unix.c:126,Constructive Negative,Vague Feedback
vim/vim,18147,on src/os_unix.c:126,Constructive Negative,Vague Feedback
vim/vim,18146,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18144,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18142,can you please rebase?,Constructive Positive,Actionable Feedback
vim/vim,18142,"thanks, can you please squash in the following on top? Let's see if this fixes the ruby error:",Constructive Positive,Actionable Feedback
vim/vim,18142,Everything is fixed now:,Constructive Positive,Clarity & Context
vim/vim,18142,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18139,Closed the PR by accident,Constructive Positive,Clarity & Context
vim/vim,18139,Okay I think this is ready,Constructive Positive,Clarity & Context
vim/vim,18139,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18139,on src/configure.ac:1,Constructive Negative,Vague Feedback
vim/vim,18139,on src/configure.ac:1,Constructive Negative,Vague Feedback
vim/vim,18139,on src/configure.ac:1,Constructive Negative,Vague Feedback
vim/vim,18139,on src/wayland.c:436,Constructive Negative,Vague Feedback
vim/vim,18139,on src/wayland.c:1,Constructive Negative,Vague Feedback
vim/vim,18139,on src/clipboard.c:1,Constructive Negative,Vague Feedback
vim/vim,18139,on src/clipboard.c:1,Constructive Negative,Vague Feedback
vim/vim,18139,on src/clipboard.c:1,Constructive Negative,Vague Feedback
vim/vim,18139,on src/configure.ac:43,Constructive Negative,Vague Feedback
vim/vim,18139,on src/configure.ac:43,Constructive Negative,Vague Feedback
vim/vim,18138,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18135,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18134,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18131,"@dlejay I think you said depreciation should start on Sep 1, so let s merge this ?",Constructive Positive,Clarity & Context
vim/vim,18131,"you mean me? Yeah, I'll go ahead later today.",Constructive Positive,Clarity & Context
vim/vim,18131,> you mean me?,Constructive Positive,Clarity & Context
vim/vim,18130,"agh, this looks like the test was broken before i touched it?",Constructive Positive,Clarity & Context
vim/vim,18130,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18128,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18127,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18125,ASAN failure,Constructive Negative,Vague Feedback
vim/vim,18125,Memory leak still happening,Constructive Positive,Risk Awareness
vim/vim,18125,How do I replicate the asan build on Mac? I uncommented UBSAN/LSAN/SANITIZER_FLAGS lines from Makefile and I don't get any memory leaks when running tests.,Constructive Positive,Risk Awareness
vim/vim,18125,It seems not supported on ARM64 according to,Constructive Positive,Clarity & Context
vim/vim,18125,The leaks seem to come from 3 different tests:,Constructive Positive,Risk Awareness
vim/vim,18125,> The leaks seem to come from 3 different tests:,Constructive Positive,Risk Awareness
vim/vim,18125,> The leaks seem to come from 3 different tests:,Constructive Positive,Risk Awareness
vim/vim,18125,"No, I isolated the tests manually using .",Constructive Positive,Clarity & Context
vim/vim,18125,> Is this included in the asan logs from github? I think it is worth showing failed tests along with stack trace.,Constructive Positive,Clarity & Context
vim/vim,18125,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18125,> > Is this included in the asan logs from github? I think it is worth showing failed tests along with stack trace.,Constructive Positive,Clarity & Context
vim/vim,18125,"Hmm wait, the behavior seems still incorrect. The help says:",Constructive Positive,Clarity & Context
vim/vim,18125,> But after this patch:,Constructive Positive,Clarity & Context
vim/vim,18125,"It seems that you misinterpreted the what ""part"" refers to:",Constructive Positive,Clarity & Context
vim/vim,18124,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18122,"Interesting, that failed test doesn't fail locally on my machine.",Constructive Positive,Clarity & Context
vim/vim,18122,"nope, it is incorrect to set that way.",Constructive Negative,Vague Feedback
vim/vim,18122,Removing and from not supporting fuzzy works fine with or without fuzzy enabled as far as I can see and test. With default and custom . Works for custom commands having complete too.,Constructive Positive,Clarity & Context
vim/vim,18122,This looks like the correct change. is set to 31 . You may want to add some screendump tests .,Constructive Positive,Clarity & Context
vim/vim,18122,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18121,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18118,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18115,thanks,Constructive Negative,Shallow / Unhelpful
vim/vim,18113,"Hm, tests fail. It seems one sodium_allocsodium_alloc` the option value when storing the key.",Constructive Positive,Clarity & Context
vim/vim,18113,I can either vim_free in both cases with and without FEAT_SODIUM retaining sodium_memzero/vim_memset. This still addresses the orginal issue of compiler optimizing the memset.,Constructive Positive,Clarity & Context
vim/vim,18113,"I had a quick look. It's a lot more involved, because you need to allocate the key, make sure to use sodium_free instead of you need to change and and then it still crashed in . Let's instead just use the . That is much simpler.",Constructive Positive,Risk Awareness
vim/vim,18113,"Hm, it still fails on Windows. I think this is because the dynamic library isn't loaded. You'll need to wrap this in a",Constructive Positive,Clarity & Context
vim/vim,18113,You can get away with a small and portable solution such as = memset;`.,Constructive Positive,Clarity & Context
vim/vim,18113,thanks both,Constructive Negative,Vague Feedback
vim/vim,18113,"thanks, included as of 59d496ab0cca1a1608d15",Constructive Positive,Clarity & Context
vim/vim,18112,Multiplying is overkill. The following will suffice.,Constructive Positive,Clarity & Context
vim/vim,18112,> Multiplying is overkill.,Constructive Positive,Clarity & Context
vim/vim,18112,> I don't see how multiplying is an overkill when the alternative is adding repeatedly.,Constructive Positive,Clarity & Context
